Name ,Article Name,Date ,University,URL ,Byline,Partnership ,Is_student_journalist ,chatgpt response,RSS,,,Did ChatGPT say the author was a student?,Is it actually student reported 
NOAH BIESIADA,Orange County’s Push for its First Veterans Cemetery Gains Momentum,"July 11, 2024",N/A,https://voiceofoc.org/2024/07/orange-countys-push-for-its-first-veterans-cemetery-gains-momentum/,,,FALSE,FALSE,,,,,
LAGUNA BEACH,Laguna Beach Considers Asking Voters to Increase Hotel Tax,"Jul 9, 2024",N/A,https://voiceofoc.org/2024/07/laguna-beach-considers-asking-voters-to-increase-hotel-tax/,,,FALSE,FALSE,,,,,
JULIE LEOPO,A Time For Chicanos and Chicanas,"Aug 27, 2023",N/A,https://voiceofoc.org/2023/08/a-time-for-chicanos-and-chicanas/,,,FALSE,FALSE,,,,,
SARAH HART AND SUKHMAN SAHOTA -- ,Fountain Valley Looks to Regulate Sober Living Homes,"Nov 1, 2023",Chapman University,https://voiceofoc.org/2023/11/fountain-valley-looks-to-regulate-sober-living-homes/,"This dispatch is part of the Voice of OC Collegiate News Service, working with student journalists to cover public policy issues across Orange County. If you would like to submit your own student media project related to Orange County civics or if you have any response to this work, contact admin@voiceofoc.org.

",Voice of OC,TRUE,TRUE,https://voiceofoc.org/2023/11/fountain-valley-looks-to-regulate-sober-living-homes/feed/,,,yes,yes
COLETTE VICTORINO AND SARAH HART ,--Fountain Valley Allows Digital Freeway Advertising; Will Drivers be Distracted?,"May 6, 2024",Chapman University,https://voiceofoc.org/2024/05/fountain-valley-allows-digital-freeway-advertising-will-drivers-be-distracted/,,Voice of OC,FALSE,FALSE,https://voiceofoc.org/2024/05/fountain-valley-allows-digital-freeway-advertising-will-drivers-be-distracted/feed/,,,No,
"ZETTA WHITING, RENEE ELEFANTE AND ANTONY POST ",-- La Habra’s Rent Relief Program for Mobile Home Residents Sees Low Turnout Rate,"Dec 8, 2023",Chapman University,https://voiceofoc.org/2023/12/la-habras-rent-relief-program-for-mobile-home-residents-sees-low-turnout-rate/,"This dispatch is part of the Voice of OC Collegiate News Service, working with student journalists to cover public policy issues across Orange County. If you would like to submit your own student media project related to Orange County civics or if you have any response to this work, contact admin@voiceofoc.org.

",Voice of OC,TRUE,TRUE,https://voiceofoc.org/2023/12/la-habras-rent-relief-program-for-mobile-home-residents-sees-low-turnout-rate/feed/,,,Yes,
"COLETTE VICTORINO, SARAH HART AND ANGELINA HICKS ",--Rancho Santa Margarita Moves Forward With District Election Map,"Nov 30, 2023",Chapman University,https://voiceofoc.org/2023/11/rancho-santa-margarita-moves-forward-with-district-election-map/,"This dispatch is part of the Voice of OC Collegiate News Service, working with student journalists to cover public policy issues across Orange County. If you would like to submit your own student media project related to Orange County civics or if you have any response to this work, contact admin@voiceofoc.org.

",Voice of OC,TRUE,FALSE,https://voiceofoc.org/2023/11/rancho-santa-margarita-moves-forward-with-district-election-map/feed/,,,yes,
SARAH HART AND SUKHMAN SAHOTA ,-- Fountain Valley to Test Out a Four-Day Work Week at City Hall,"Jun 4, 2024",Chapman University,https://voiceofoc.org/2024/06/fountain-valley-to-test-out-a-four-day-work-week-at-city-hall/,"This dispatch is part of the Voice of OC Collegiate News Service, working with student journalists to cover public policy issues across Orange County. If you would like to submit your own student media project related to Orange County civics or if you have any response to this work, contact admin@voiceofoc.org.

",Voice of OC,FALSE,FALSE,https://voiceofoc.org/2024/06/fountain-valley-to-test-out-a-four-day-work-week-at-city-hall/feed/,,,"no, false negative",
"RENEE ELEFANTE, ANTONY POST AND ZETTA WHITING ",-- OC Library Visits Climb as Irvine Looks to Leave County Library Network,"Jun 13, 2024",Chapman University,https://voiceofoc.org/2024/06/oc-library-visits-climb-as-irvine-looks-to-leave-county-library-network/,"This dispatch is part of the Voice of OC Collegiate News Service, working with student journalists to cover public policy issues across Orange County. If you would like to submit your own student media project related to Orange County civics or if you have any response to this work, contact admin@voiceofoc.org.

",Voice of OC,TRUE,TRUE,https://voiceofoc.org/2024/06/oc-library-visits-climb-as-irvine-looks-to-leave-county-library-network/feed/,,,yes,
ZETTA WHITING ,"-- La Habra Car Crashes Are Up, City Officials Scramble to Combat Spike","Dec 16, 2021",Chapman University,https://voiceofoc.org/2021/12/la-habra-car-crashes-are-up-city-officials-scramble-to-combat-spike/,"This dispatch is part of the Voice of OC Collegiate News Service, working with student journalists to cover public policy issues across Orange County. If you would like to submit your own student media project related to Orange County civics or if you have any response to this work, contact admin@voiceofoc.org.

",Voice of OC,TRUE,TRUE,https://voiceofoc.org/2021/12/la-habra-car-crashes-are-up-city-officials-scramble-to-combat-spike/feed/,,,yes,
