,publication,is_uni_newspaper,url,article_title,date,author,is_student
0,thehornettribune,1,https://asuhornettribune.com/14534/viewpoints/donald-trumps-conviction-a-reminder-of-many-things/,Donald Trump’s conviction a reminder of many things,2024-06-09,The Hornet Tribune,0
1,thehornettribune,1,https://asuhornettribune.com/14494/viewpoints/protests-of-a-different-color/,Protests of a different color,2024-05-18,The Hornet Tribune,1
2,thehornettribune,1,https://asuhornettribune.com/14472/viewpoints/justice-for-marilyn-mosby-and-other-black-women/,Justice for Marilyn Mosby and other Black women,2024-05-15,The Hornet Tribune,1
3,thehornettribune,1,https://asuhornettribune.com/14455/university-news/flowers-imparts-important-message-to-spring-2024-graduates/,Flowers imparts important message to Spring 2024 graduates,2024-05-03,,
4,thehornettribune,1,https://asuhornettribune.com/14441/university-news/14441/,International Student Association honors its graduating seniors,2024-05-01,,
5,thehornettribune,1,https://asuhornettribune.com/14434/university-news/university-makes-history-with-inaugural-hive-awards/,University makes history with inaugural Hive Awards for students,2024-04-28,,
6,thehornettribune,1,https://asuhornettribune.com/14418/university-news/cable-encourages-honor-students-to-travel-the-bridge-of-endurance/,Cable encourages honor students to travel the bridge of endurance,2024-04-27,,
7,thehornettribune,1,https://asuhornettribune.com/14409/university-news/president-emeritus-william-hamilton-harris-dies/,"President Emeritus William Harris, Ph.D., dies in Hilton Head, South Carolina",2024-04-20,,
8,thehornettribune,1,https://asuhornettribune.com/14448/university-news/14448/,Tracy V. Banks Memorial Oratorical Contest amplifies student voices,2024-04-16,,
9,thehornettribune,1,https://asuhornettribune.com/14324/university-news/fourteen-trailblazers-make-history-at-the-university/,Fourteen student trailblazers create history at Alabama State University,2024-04-16,,
10,wvua23,0,https://www.wvua23.com/your-personal-best-grip-exercises-2/,Your Personal Best: Grip exercises,2024-07-29,,
11,wvua23,0,https://www.wvua23.com/tuscaloosa-reports-several-major-sewer-overflows-after-weekend-downpour/,Tuscaloosa reports several major sewer overflows after weekend downpour,2024-07-29,,
12,wvua23,0,https://www.wvua23.com/alabama-city-and-multibillion-dollar-company-to-refund-speeding-tickets/,Alabama city and multibillion dollar company to refund speeding tickets,2024-07-29,,
13,wvua23,0,https://www.wvua23.com/doug-emhoff-would-become-the-countrys-first-first-gentleman-if-kamala-harris-wins-the-presidency/,Doug Emhoff would become the country’s first first gentleman if Kamala Harris wins the presidency,2024-07-29,,
14,wvua23,0,https://www.wvua23.com/deadpool-wolverine-now-has-the-6th-biggest-opening-weekend-of-all-time/,‘Deadpool & Wolverine’ now has the 6th biggest opening weekend of all time,2024-07-29,,
15,wvua23,0,https://www.wvua23.com/patriots-barmore-diagnosed-with-blood-clots/,Patriots Barmore diagnosed with blood clots,2024-07-29,,
16,wvua23,0,https://www.wvua23.com/paul-w-bryant-museum-hosts-sports-art-day-saturday/,Paul W. Bryant Museum hosts Sports Art Day Saturday,2024-07-29,,
17,wvua23,0,https://www.wvua23.com/motorcyclists-deliver-charity-on-wheels-to-west-alabama/,Motorcyclists deliver charity on wheels to West Alabama,2024-07-29,,
18,wvua23,0,https://www.wvua23.com/ivey-to-visit-tuscaloosa-monday-for-statewide-tourism-conference/,Ivey to visit Tuscaloosa Monday for statewide tourism conference,2024-07-29,,
19,wvua23,0,https://www.wvua23.com/teen-18-facing-murder-charge-in-wake-of-deadly-downtown-tuscaloosa-shooting/,"Teen, 18, facing murder charge in wake of deadly downtown Tuscaloosa shooting",2024-07-29,,
20,deltadigitalnewservice,0,https://deltanewsservice.com/2024/05/31/legends-bbq-a-thriving-figure-of-the-nea-black-community/,Legends BBQ a thriving figure of the NEA black community,2024-05-31,,
21,deltadigitalnewservice,0,https://deltanewsservice.com/2024/05/23/nea-celebrates-local-diversity-with-cultural-expo/,NEA celebrates local diversity with cultural expo,2024-05-23,,
22,deltadigitalnewservice,0,https://deltanewsservice.com/2024/05/02/cityyouth-a-destination-for-youth-when-school-ends/,CityYouth a destination for youth when school ends,2024-05-02,,
23,deltadigitalnewservice,0,https://deltanewsservice.com/2024/05/01/nea-baptist-urgent-care-plus-opening-imaging-center/,NEA Baptist Urgent Care Plus opens imaging center,2024-05-01,,
