,news_article_title,news_article_author,is_author_student_journalist,is_article_university_collaboration,urls,is_student_reported
0,Orange County's Push for its First Veterans Cemetery Gains Momentum,Noah Biesiada,True,False,https://voiceofoc.org/2024/07/orange-countys-push-for-its-first-veterans-cemetery-gains-momentum/,True
1,Laguna Beach Considers Asking Voters to Increase Hotel Tax,Gigi Gradillas,False,False,https://voiceofoc.org/2024/07/laguna-beach-considers-asking-voters-to-increase-hotel-tax/,False
2,A Time For Chicanos and Chicanas,Julie Leopo,False,False,https://voiceofoc.org/2023/08/a-time-for-chicanos-and-chicanas/,False
3,Fountain Valley Looks to Regulate Sober Living Homes,Sarah Hart,False,False,https://voiceofoc.org/2023/11/fountain-valley-looks-to-regulate-sober-living-homes/,False
4,Fountain Valley Allows Digital Freeway Advertising; Will Drivers be Distracted?,Colette Victorino and Sarah Hart,False,False,https://voiceofoc.org/2024/05/fountain-valley-allows-digital-freeway-advertising-will-drivers-be-distracted/,False
5,La Habra's Rent Relief Program for Mobile Home Residents Sees Low Turnout Rate,ZETTA WHITING,True,True,https://voiceofoc.org/2023/12/la-habras-rent-relief-program-for-mobile-home-residents-sees-low-turnout-rate/,True
6,Rancho Santa Margarita Moves Forward With District Election Map,Colette Victorino,False,False,https://voiceofoc.org/2023/11/rancho-santa-margarita-moves-forward-with-district-election-map/,False
7,Fountain Valley to Test Out a Four-Day Work Week at City Hall,Sarah Hart,False,False,https://voiceofoc.org/2024/06/fountain-valley-to-test-out-a-four-day-work-week-at-city-hall/,False
8,OC Library Visits Climb as Irvine Looks to Leave County Library Network,"Renee Elefante, Antony Post, ZETTA WHITING",False,True,https://voiceofoc.org/2024/06/oc-library-visits-climb-as-irvine-looks-to-leave-county-library-network/,True
9,"La Habra Car Crashes Are Up, City Officials Scramble to Combat Spike",ZETTA WHITING,False,True,https://voiceofoc.org/2021/12/la-habra-car-crashes-are-up-city-officials-scramble-to-combat-spike/,True
10,La Habra Will Display Phrase ‘In God We Trust’ in City Council Chambers,ZETTA WHITING,True,False,https://voiceofoc.org/2021/05/la-habra-will-display-phrase-in-god-we-trust-in-city-council-chambers/,True
11,La Habra to Require Affordable Units in Developments of 10 or More Homes,SAMANTHA RHODES,True,True,https://voiceofoc.org/2021/04/la-habra-to-require-affordable-units-in-developments-of-10-or-more-homes/,True
12,Newport Beach Permits Wine Tasting Rooms to Operate Within The City’s Industrial Zone,SAMANTHA RHODES,True,True,https://voiceofoc.org/2021/04/newport-beach-permits-wine-tasting-rooms-to-operate-within-the-citys-industrial-zone/,True
13,Fullerton Repeals Ordinance Allowing Cannabis Stores; La Habra and Costa Mesa Push Forward With Regulations,"JACOB REBER, Megan J. Miller, ZETTA WHITING",True,True,https://voiceofoc.org/2021/03/fullerton-repeals-ordinance-allowing-cannabis-stores-la-habra-and-costa-mesa-push-forward-with-regulations/,True
14,Placentia Small Businesses Set to Receive Grants to Help With Pandemic Relief,ZETTA WHITING,False,False,https://voiceofoc.org/2021/03/placentia-small-businesses-set-to-receive-grants-to-help-with-pandemic-relief/,False
15,Macon's 32nd Juneteenth Events Salute Black Girl Magic and Native American Parallels,Unknown,False,False,https://www.gpb.org/news/2024/06/14/macons-32nd-juneteenth-events-salute-black-girl-magic-and-native-american-parallels,False
16,Racial Barrier Breakers Community Leaders to Be Honored,Unknown,False,False,https://www.gpb.org/news/2024/06/14/racial-barrier-breakers-community-leaders-be-honored,False
17,I hope to never be in this position again': Elections board member says of no Saturday voting,Unknown,False,False,https://www.gpb.org/news/2024/06/07/i-hope-never-be-in-position-again-elections-board-member-says-of-no-saturday-voting,False
18,Tour Macon's New Fine Fettle Georgia Medical Cannabis Plant,Unknown,False,False,https://www.gpb.org/news/2024/05/31/tour-macons-new-fine-fettle-georgia-medical-cannabis-plant,False
19,Macon Lands 600 Jobs in $418M Industry Expansion,Unknown,False,False,https://www.gpb.org/news/2024/05/23/macon-lands-600-jobs-in-418m-industry-expansion,False
20,Voter Beware of Macon-Bibb Ballot Confusion,Unknown,False,False,https://www.gpb.org/news/2024/05/20/voter-beware-of-macon-bibb-ballot-confusion,False
