publication,feed
thehornettribune,https://asuhornettribune.com/feed/
wvua23,https://www.wvua23.com/feed/
deltadigitalnewservice,https://deltanewsservice.com/feed/
cronkitenewsdistribution,https://cronkitenews.azpbs.org/rss-feed/
elinde,https://indearizona.com/comments/feed/
zumedia,https://zunews.com/feed/
thepoint,https://thepointmagazine.org/feed/
theorion,https://theorion.com/feed/
universitytimes,https://csulauniversitytimes.com/feed/
collegiatenewsservice,https://voiceofoc.org/category/news/collegiate-news-service/feed/
coastreportonline,https://www.coastreportonline.com/search/?f=rss&t=article&c=news&l=50&s=start_time&sd=desc
pepperdine/seavercollegejournalismprogram,https://pepperdine-graphic.com/feed/
eldon,https://eldonnews.org/feed/
oaklandnorth,https://oaklandnorth.net/feed/
richmondconfidential,https://richmondconfidential.org/feed/
crosstown,https://xtown.la/feed/
metmedia,https://www.mymetmedia.com/feed/
dumedia,https://storylab.du.edu/dumedia/feed/
abilitymediagroup,https://abilitymediagroup.com/f.rss
eastoncourier,https://eastoncourier.news/feed/
howarduniversitynewsservice,https://hunewsservice.com/feed/
thefauman,https://www.thefamuanonline.com/category/news/rss
nextgenjournalismclub,https://www.tampafp.com/feed/
orlandosentinel,https://www.orlandosentinel.com/feed/
democracywatch,https://news.wgcu.org/tags/democracy-watch.rss
freshtakeflorida,https://www.wuft.org/fresh-take-florida.rss
communitywire.miami,https://themiamihurricane.com/feed/
caplinnews,https://caplinnews.fiu.edu/rss
miamiherald,https://feeds.mcclatchy.com/miamiherald/sections/news/local/stories
miamitimes,http://www.miamitimesonline.com/search/?f=rss&amp;t=article&amp;c=news/local&amp;l=50&amp;s=start_time&amp;sd=desc
theredandblacknewspaper,https://www.redandblack.com/search/?f=rss&amp;t=article&amp;c=staff&amp;l=50&amp;s=start_time&amp;sd=desc
freshtakegeorgia,https://freshtakegeorgia.org/feed/
maconnewsroom/centerforcollaborativejournalism,https://macon-newsroom.com/feed/
woodallweekendworkshop,https://gradynewsource.uga.edu/feed/
legislativereportingcapstone,https://www.civilbeat.org/feed/
thedailyiowan,https://dailyiowan.com/feed/
idahocountyfreepress,http://www.idahocountyfreepress.com/search/?f=rss&amp;t=article&amp;l=50&amp;s=start_time&amp;sd=desc&amp;k%5B%5D=%23topstory
austintalks,http://austintalks.org/feed/
14east,http://fourteeneastmag.com/index.php/feed/
citizenaccess,https://cu-citizenaccess.org/feed/
arnoltcenterforinvestigativejournalism,https://arnoltcenter.org/work/feed/
theeasternprogress,https://www.easternprogress.com/search/?f=rss&t=article&l=50&s=start_time&sd=desc&k%5B%5D=%23topstory
270stories-departmentofjournalismandmasscommunications,https://270stories.mymurraystate.com/feed/
thenortherner,https://www.thenortherner.com/feed/
wkujournalism,https://wkujournalism.com/feed/
lsucoldcaseproject,https://lsucoldcaseproject.com/feed/
manshipschoolstatehouseburean,https://manshipxgr.org/feed/
northwesternstateuniversitylouisiana’snsu-tvnewsservice,https://purplemedianetwork.com/feed/
usatoday,https://www.bu.edu/com/category/student-work/feed/
gbhnews,https://www.wgbh.org/news.rss
clarkurbancommunityjournalismclassblog,https://clarkcommunityjournalism.wordpress.com/feed/
thescope,https://thescopeboston.org/feed/
capitalnewsservice,https://cnsmaryland.org/rss
journalismandmediastudiesprogram,https://www.easternecho.com/
capitalnewsservice,https://news.jrn.msu.edu/feed/
greatlakesecho,https://greatlakesecho.org/feed/
pioneerpress,https://www.twincities.com/rss
thekansascitystar,https://feeds.mcclatchy.com/kansascity/sections/news/local/stories
projectoptimist,https://www.projectoptimist.us/rss/
columbiamissourian,https://www.columbiamissourian.com/search/?f=rss&t=article&c=news&l=50&s=start_time&sd=desc
kbianpraffiliate,https://www.kbia.org/news.rss
9thstreetjournal,https://9thstreetjournal.org/rss
storieswetell,"""https://storieswetell.news/feed/"""
queensuniversitynewsservice,https://qcitymetro.com/feed/
sylvaheraldpartnership,https://thewesterncarolinajournalist.com/category/news/rss
southjerseyclimatenews,https://sjclimate.news/feed/
newmexiconewsport,https://newmexiconewsport.com/rss
sdnews,https://sdnews.com/rss
kunr,https://www.kunr.org/local-stories.rss
noticieromovil,https://noticieromovil.com/feed/
hitchcockproject,https://hitchcockproject.org/feed/
rochesterbeacon,https://rochesterbeacon.com/feed/
columbianewsservice,https://columbianewsservice.com/feed/
bronxjournal,http://bronxjournal.com/?feed=rss2
longislandadvocate,https://longislandadvocate.com/feed/
legislativegazette,https://legislativegazette.com/rss
coopersquared,https://coopersquared.com/feed/
pavementpieces,https://pavementpieces.com/feed/
reportingproject,https://www.thereportingproject.org/rss
ohionewslab,https://kentstatenewslab.org/category/reporting/rss
ideastream,https://www.ideastream.org/news.rss
thebuckeyeflame,https://thebuckeyeflame.com/rss
theland,https://thelandcle.org/rss
theportager,https://theportager.com/rss
oxfordobserver,https://oxfordobserver.org/rss
gaylordnews,https://gaylordnews.net/rss
dailyastorian,https://www.dailyastorian.com/search/?f=rss&t=article&l=50&s=start_time&sd=desc&k%5B%5D=%23topstory
news-register,https://newsregister.com/
thecatalystjournalismproject,https://catalystjournalism.uoregon.edu/feed/
eugeneweekly,https://eugeneweekly.com/rss
nextpittsburgh,https://nextpittsburgh.com/rss
qburgh,https://qburgh.com/rss
pointparknewsservice,https://pointparknewsservice.org/rss
philadephianeighborhoods,https://philadelphianeighborhoods.com/rss
eastfallslocal,https://nwlocalpaper.com/rss
universityofsouthcarolinacollegeofinformationandcommunication,https://carolinanewsandreporter.cic.sc.edu/feed/
overlookedinappalachia,https://www.overlookedinappalachia.org/blog-feed.xml
thesouthernaccent,https://southern-accent.org/rss
instituteforpublicservicereportingmemphis,https://www.psrmemphis.org/rss
kacu,https://www.kacu.org/local-news.rss
borderzine,"""https://borderzine.com/feed/"""
sanantonioreport,https://sanantonioreport.org/feed/
thecommunitynews,https://www.community-news.com/browse.rss
seguingazette,https://seguingazette.com/search/?f=rss&t=article&l=50&s=start_time&sd=desc&k%5B%5D=%23topstory
texasmetronews,https://texasmetronews.com/feed/
planomagazine,https://planomagazine.com/feed/
amplifyutah,https://www.sltrib.com/arc/outboundfeeds/rss/?outputType=xml
capitalnewsservice,https://vcucns.com/rss
thevirginian-pilot,https://www.pilotonline.com/feed/
news7,http://www.news7newslinc.net/index.php?format=feed&type=rss
vtdigger,https://vtdigger.org/feed/
vtdigger,https://vtcommunitynews.org/category/legislature/rss
vtdigger,https://vtcommunitynews.org/category/envirnoment/rss
vtdigger,https://vtcommunitynews.org/category/news/rss
vtdigger,https://vtcommunitynews.org/category/features/rss
kitsapdailynews,https://www.kitsapdailynews.com/feed/
theseattletimes,https://www.seattletimes.com/feed/
grandcoulee'sstar,https://www.grandcoulee.com/rss
knkx,https://www.knkx.org/news.rss
bainbridgereview,https://www.bainbridgereview.com/rss
murrownewsservice,https://www.spokesman.com/feeds/
milwaukeeneighborhoodnewsservice,https://milwaukeenns.org/feed/
wisconsinwatch,https://wisconsinwatch.org/feed/
dailyathenaeum,https://www.thedaonline.com/search/?q=&t=article&f=atom&ips=300&altf=mrss
andalusiastarnews,https://www.andalusiastarnews.com/rss
atmoreadvance,https://www.atmoreadvance.com/rss
thebrewtonstandard,http://www.brewtonstandard.com/rss
clantonadvertiser,https://www.clantonadvertiser.com/rss
gadsdenmessenger,https://gadsdenmessenger.com/rss
greenvilleadvocate,http://www.greenvilleadvocate.com/rss
selmatimesjournal,https://www.selmatimesjournal.com/rss
troymessenger,http://www.troymessenger.com/rss
thevalleytimesnews,https://www.valleytimes-news.com/rss
alaskajournalofcommerce,http://www.alaskajournal.com/rss.xml
juneauempire,https://www.juneauempire.com/rss
peninsulaclarion,https://www.peninsulaclarion.com/rss
arizonacapitoltimes,https://azcapitoltimes.com/rss
arkansastimes,https://arktimes.com/rss
fayettevillefreeweekly,http://www.freeweekly.com/rss
alamedatimesstar,https://www.eastbaytimes.com/location/oakland/rss
thebakersfieldcalifornian,https://www.bakersfield.com/rss
campbellreporter,https://www.mercurynews.com/location/campbell/rss
contracostatimes,https://www.eastbaytimes.com/rss
cupertinocourier,https://www.mercurynews.com/location/cupertino/rss
dailybreeze,https://www.dailybreeze.com/rss
dailydemocrat,https://www.dailydemocrat.com/rss
redbluffdailynews,https://www.redbluffdailynews.com/rss
dailynews,https://www.dailynews.com/rss
thedailyrepublic,https://www.dailyrepublic.com/rss
thedavisenterprise,https://www.davisenterprise.com/rss
theenterpriserecord,https://www.chicoer.com/rss
fortbraggadvocatenews,https://www.advocate-news.com/rss
inlandvalleydailybulletin,https://www.dailybulletin.com/rss
theaspentimes,https://www.aspentimes.com/rss
aurorasentinel,https://www.sentinelcolorado.com/rss
boulderweekly,https://www.boulderweekly.com/rss
broomfieldenterprise,https://www.broomfieldenterprise.com/rss
craigdailypress,https://www.craigdailypress.com/rss
thedailycamera,https://www.dailycamera.com/rss
dailyrecord,https://www.canoncitydailyrecord.com/rss
thedenverpost,https://www.denverpost.com/rss
estesparktrailgazette,https://www.eptrail.com/rss
fortmorgantimes,https://www.fortmorgantimes.com/rss
greeleytribune,https://www.greeleytribune.com/rss
haxtunflemingherald,http://www.hfherald.com/rss
thelamardailynews,https://www.lamarledger.com/rss
northfortynews,https://northfortynews.com/rss
thepagosaspringssun,http://www.pagosasun.com/rss
steamboatpilot,https://www.steamboatpilot.com/rss
summitdailynews,https://www.summitdaily.com/rss
waterburyrepublicanamerican,https://www.rep-am.com/rss
bocabeacon,https://bocabeacon.com/rss
keywestcitizen,https://keysnews.com/rss
lakecityreporter,https://www.lakecityreporter.com/rss.xml
madisoncountycarrier,http://www.greenepublishing.com/rss
miami’scommunitynewspapers,https://communitynewspapers.com/rss
miamitoday,https://www.miamitodaynews.com/rss
newsleader,https://www.fbnewsleader.com/rss.xml
palatkadailynews,https://www.palatkadailynews.com/rss.xml
thetowncrier,https://gotowncrier.com/rss
atlantadailyworld,http://atlantadailyworld.com/rss
claytontribune,https://www.theclaytontribune.com/rss.xml
thecoastalcourier,https://coastalcourier.com/rss
dawsonadvertiser,https://www.dawsonnews.com/rss
lagrangedailynews,http://www.lagrangenews.com/rss
postsearchlight,https://www.thepostsearchlight.com/rss
thestatesboroherald,https://www.statesboroherald.com/rss
thetimescourier,https://www.timescourier.com/rss.xml
tribune,https://www.tribune-georgian.com/rss.xml
valleytimesnews,https://www.valleytimes-news.com/rss
westhawaiitoday,https://www.westhawaiitoday.com/rss
chicagosuntimes,https://chicago.suntimes.com/feed
dailyherald,https://www.dailyherald.com/rss
dailyreviewatlas,https://www.reviewatlas.com/rss
journalstar,https://www.pjstar.com/rss
thejournalstandard,https://www.journalstandard.com/rss
laraza,http://www.laraza.com/rss
newsprogress,http://newsprogress.com/rss
pekindailytimes,https://www.pekintimes.com/rss
rockfordregisterstar,https://www.rrstar.com/rss
thestatejournalregister,https://www.sj-r.com/rss
therepublic,http://www.therepublic.com/rss
clearlakemirrorreporter,http://www.clreporter.com/rss
harlanonline,http://www.harlanonline.com/rss.xml
marshalltowntimesrepublican,http://www.timesrepublican.com/rss
rivercitiesreader,https://www.rcreader.com/rss.xml
greatbendtribune,https://www.gbtribune.com/rss
hillsborofreepress,http://www.hillsborofreepress.com/rss
themorningsun,https://www.morningsun.net/rss
theadvocatemessenger,https://www.amnews.com/rss
thehancockclarion,https://www.hancockclarion.com/rss
harrodsburgherald,https://www.harrodsburgherald.com/rss
theledgerindependent,https://maysville-online.com/rss
lewiscountyherald,http://www.lewiscountyherald.com/rss
thewinchestersun,https://www.winchestersun.com/rss
bossierpresstribune,https://bossierpress.com/rss
businessreport,https://www.businessreport.com/rss
citybusiness,https://neworleanscitybusiness.com/rss
thecrowleypostsignal,http://www.crowleypostsignal.com/rss.xml
thedailyreview,https://www.daily-review.com/rss.xml
thefranklinbannertribune,https://www.banner-tribune.com/rss.xml
l’observateur,https://www.lobservateur.com/rss
mindenpressherald,https://press-herald.com/rss
advertiserdemocrat,https://www.sunjournal.com/advertiser-democrat/rss
theellsworthamerican,https://www.ellsworthamerican.com/rss
thekennebecjournal,https://www.centralmaine.com/rss
sunjournal,https://www.sunjournal.com/rss
thetimesrecord,https://www.timesrecord.com/rss
thearlingtonadvocate,https://arlington.wickedlocal.com/rss
thebelmontcitizenherald,https://belmont.wickedlocal.com/rss
beverlycitizen,https://beverly.wickedlocal.com/rss
bostonherald,https://www.bostonherald.com/rss
brooklinetab,https://brookline.wickedlocal.com/rss
cambridgechronicle,https://cambridge.wickedlocal.com/rss
communityadvocate,https://www.communityadvocate.com/rss
concordjournal,https://concord.wickedlocal.com/rss
dorchesterreporter,https://www.dotnews.com/rss.xml
duxburyclipper,https://www.duxburyclipper.com/rss
everettindependent,http://everettindependent.com/rss
hamiltonwenhamchronicle,https://hamilton.wickedlocal.com/rss
theheraldnews,https://www.heraldnews.com/rss
ipswichchronicle,https://ipswich.wickedlocal.com/rss
thejewishadvocate,https://www.thejewishadvocate.com/rss
lexingtonminuteman,https://lexington.wickedlocal.com/rss
thelowellsun,http://www.lowellsun.com/rss
maldenobserver,https://malden.wickedlocal.com/rss
marbleheadreporter,https://marblehead.wickedlocal.com/rss
martha’svineyardtimes,https://www.mvtimes.com/rss
massachusettsnews,https://www.massnews.com/rss
melrosefreepress,https://melrose.wickedlocal.com/rss
northandovercitizen,https://northandover.wickedlocal.com/rss
saugusadvertiser,https://saugus.wickedlocal.com/rss
sudburytowncrier,https://sudbury.wickedlocal.com/rss
swampscottreporter,https://swampscott.wickedlocal.com/rss
tauntondailygazette,https://www.tauntongazette.com/rss
