,publication,is_uni_newspaper,url,article_title,date,author,is_student
0,thehornettribune,1,https://asuhornettribune.com/14534/viewpoints/donald-trumps-conviction-a-reminder-of-many-things/,Donald Trump’s conviction a reminder of many things,2024-06-09,,
1,thehornettribune,1,https://asuhornettribune.com/14494/viewpoints/protests-of-a-different-color/,Protests of a different color,2024-05-18,,
2,thehornettribune,1,https://asuhornettribune.com/14472/viewpoints/justice-for-marilyn-mosby-and-other-black-women/,Justice for Marilyn Mosby and other Black women,2024-05-15,,
3,thehornettribune,1,https://asuhornettribune.com/14455/university-news/flowers-imparts-important-message-to-spring-2024-graduates/,Flowers imparts important message to Spring 2024 graduates,2024-05-03,,
4,thehornettribune,1,https://asuhornettribune.com/14441/university-news/14441/,International Student Association honors its graduating seniors,2024-05-01,,
5,thehornettribune,1,https://asuhornettribune.com/14434/university-news/university-makes-history-with-inaugural-hive-awards/,University makes history with inaugural Hive Awards for students,2024-04-28,,
6,thehornettribune,1,https://asuhornettribune.com/14418/university-news/cable-encourages-honor-students-to-travel-the-bridge-of-endurance/,Cable encourages honor students to travel the bridge of endurance,2024-04-27,,
7,thehornettribune,1,https://asuhornettribune.com/14409/university-news/president-emeritus-william-hamilton-harris-dies/,"President Emeritus William Harris, Ph.D., dies in Hilton Head, South Carolina",2024-04-20,,
8,thehornettribune,1,https://asuhornettribune.com/14448/university-news/14448/,Tracy V. Banks Memorial Oratorical Contest amplifies student voices,2024-04-16,,
9,thehornettribune,1,https://asuhornettribune.com/14324/university-news/fourteen-trailblazers-make-history-at-the-university/,Fourteen student trailblazers create history at Alabama State University,2024-04-16,,
10,wvua23,0,https://www.wvua23.com/local-naacp-says-more-is-needed-before-nicks-in-the-sticks-apology-accepted/,Local NAACP says more is needed before Nick’s in the Sticks apology accepted,2024-08-01,,
11,wvua23,0,https://www.wvua23.com/hot-weather-continues-isolated-storms-watching-the-tropics-thursday-pm-forecast-update/,Hot Weather Continues… Isolated Storms… Watching the Tropics… Thursday PM Forecast Update,2024-08-01,,
12,wvua23,0,https://www.wvua23.com/former-walker-county-jail-worker-pleads-guilty-in-death-of-anthony-tony-mitchell/,Former Walker County Jail worker pleads guilty in death of Anthony ‘Tony’ Mitchell,2024-08-01,,
13,wvua23,0,https://www.wvua23.com/health-matters-sleep-apnea/,Health Matters: Sleep apnea,2024-08-01,,
14,wvua23,0,https://www.wvua23.com/tuscaloosa-county-school-system-kicks-off-new-year-with-rally-for-staff/,Tuscaloosa County School System kicks off new year with rally for staff,2024-08-01,,
15,wvua23,0,https://www.wvua23.com/jasper-city-walker-county-schools-offering-dual-enrollment-through-bevill-state/,"Jasper City, Walker County schools offering dual enrollment through Bevill State",2024-08-01,,
16,wvua23,0,https://www.wvua23.com/1-embryo-wrongful-death-suit-dropped-another-remains-active/,"1 embryo wrongful death suit dropped, another remains active",2024-08-01,,
17,wvua23,0,https://www.wvua23.com/downtown-tuscaloosa-hosting-first-friday-aug-2/,Downtown Tuscaloosa hosting First Friday Aug. 2,2024-08-01,,
18,wvua23,0,https://www.wvua23.com/alabama-researchers-get-grant-focused-on-reducing-diesel-emissions-at-ports/,Alabama researchers get grant focused on reducing diesel emissions at ports,2024-08-01,,
19,wvua23,0,https://www.wvua23.com/stillman-college-athletics-named-gold-level-naia-champions-of-character-five-star-institute/,Stillman College Athletics Named Gold Level NAIA Champions of Character Five-Star Institute,2024-08-01,,
20,deltadigitalnewservice,0,https://deltanewsservice.com/2024/07/31/3-5-million-in-federal-funding-for-jonesboro-advances-in-u-s-senate/,$3.5 Million in Federal Funding for Jonesboro Advances in U.S. Senate,2024-07-31,,
21,deltadigitalnewservice,0,https://deltanewsservice.com/2024/07/29/new-football-teams-coming-to-nea/,New football teams coming to NEA,2024-07-29,,
22,deltadigitalnewservice,0,https://deltanewsservice.com/2024/05/31/legends-bbq-a-thriving-figure-of-the-nea-black-community/,Legends BBQ a thriving figure of the NEA black community,2024-05-31,,
23,deltadigitalnewservice,0,https://deltanewsservice.com/2024/05/23/nea-celebrates-local-diversity-with-cultural-expo/,NEA celebrates local diversity with cultural expo,2024-05-23,,
24,deltadigitalnewservice,0,https://deltanewsservice.com/2024/05/02/cityyouth-a-destination-for-youth-when-school-ends/,CityYouth a destination for youth when school ends,2024-05-02,,
25,deltadigitalnewservice,0,https://deltanewsservice.com/2024/05/01/nea-baptist-urgent-care-plus-opening-imaging-center/,NEA Baptist Urgent Care Plus opens imaging center,2024-05-01,,
26,deltadigitalnewservice,0,https://deltanewsservice.com/2024/05/01/mental-health-where-the-gym-comes-in-handy/,Mental health: where the gym comes in handy,2024-05-01,,
27,deltadigitalnewservice,0,https://deltanewsservice.com/2024/05/01/mama-2-mama-provides-for-local-community-of-mothers/,"Mama 2 Mama, a local nonprofit organization and podcast, provides free diapers and shelter to needy mothers",2024-05-01,,
28,deltadigitalnewservice,0,https://deltanewsservice.com/2024/05/01/brent-floating-farms-aims-to-revolutionize-agriculture/,Brent Floating Farms aims to “revolutionize agriculture”,2024-05-01,,
29,deltadigitalnewservice,0,https://deltanewsservice.com/2024/05/01/medicaid-unwinding-affects-over-13000-jonesboro-residents/,"Medicaid unwinding affects over 13,000 Jonesboro residents",2024-05-01,,
30,cronkitenewsdistribution,0,https://cronkitenews.azpbs.org/2024/08/01/u-s-gymnastics-men-women-medal/,U.S. men’s gymnastics team medals for first time since 2008 at Paris 2024 Olympics,2024-08-01,,
31,cronkitenewsdistribution,0,https://cronkitenews.azpbs.org/2024/08/01/taurasi-griner-copper-mercury-help-team-usa-womens-basketball/,"Taurasi, Griner, Copper: Mercury trio determined to help Team USA women’s basketball win gold",2024-08-01,,
32,cronkitenewsdistribution,0,https://cronkitenews.azpbs.org/2024/08/01/team-usa-athletes-work-out-high-performance-training-center/,"In quiet Paris suburb, Team USA elite athletes work out together at high performance training center",2024-08-01,,
33,cronkitenewsdistribution,0,https://cronkitenews.azpbs.org/2024/07/31/olympians-relationship-social-media-display-paris-games/,‘A 30% BMI’: Olympians’ love-hate relationship with social media on full display at Paris Games,2024-07-31,,
