,publication,url,article_title,date,author,is_student
0,thehornettribune,https://asuhornettribune.com/14534/viewpoints/donald-trumps-conviction-a-reminder-of-many-things/,Donald Trump’s conviction a reminder of many things,2024-06-09,null,null
1,thehornettribune,https://asuhornettribune.com/14494/viewpoints/protests-of-a-different-color/,Protests of a different color,2024-05-18,null,null
2,thehornettribune,https://asuhornettribune.com/14472/viewpoints/justice-for-marilyn-mosby-and-other-black-women/,Justice for Marilyn Mosby and other Black women,2024-05-15,null,null
3,thehornettribune,https://asuhornettribune.com/14455/university-news/flowers-imparts-important-message-to-spring-2024-graduates/,Flowers imparts important message to Spring 2024 graduates,2024-05-03,null,null
4,thehornettribune,https://asuhornettribune.com/14441/university-news/14441/,International Student Association honors its graduating seniors,2024-05-01,null,null
5,thehornettribune,https://asuhornettribune.com/14434/university-news/university-makes-history-with-inaugural-hive-awards/,University makes history with inaugural Hive Awards for students,2024-04-28,null,null
6,thehornettribune,https://asuhornettribune.com/14418/university-news/cable-encourages-honor-students-to-travel-the-bridge-of-endurance/,Cable encourages honor students to travel the bridge of endurance,2024-04-27,null,null
7,thehornettribune,https://asuhornettribune.com/14409/university-news/president-emeritus-william-hamilton-harris-dies/,"President Emeritus William Harris, Ph.D., dies in Hilton Head, South Carolina",2024-04-20,null,null
8,thehornettribune,https://asuhornettribune.com/14448/university-news/14448/,Tracy V. Banks Memorial Oratorical Contest amplifies student voices,2024-04-16,null,null
9,thehornettribune,https://asuhornettribune.com/14324/university-news/fourteen-trailblazers-make-history-at-the-university/,Fourteen student trailblazers create history at Alabama State University,2024-04-16,null,null
10,wvua23,https://www.wvua23.com/scattered-storm-chances-continue-sunday-pm/,Scattered Storm Chances Continue…Sunday PM,2024-07-28,null,null
11,wvua23,https://www.wvua23.com/suspect-arrested-in-downtown-tuscaloosa-shooting/,Suspect arrested in downtown Tuscaloosa shooting,2024-07-28,null,null
12,wvua23,https://www.wvua23.com/homicide-investigation-underway-in-downtown-tuscaloosa/,Homicide investigation underway in downtown Tuscaloosa,2024-07-28,null,null
13,wvua23,https://www.wvua23.com/stormy-conditions-continue-saturday-pm-forecast-update/,Stormy Conditions Continue…Saturday PM Forecast Update,2024-07-27,null,null
14,wvua23,https://www.wvua23.com/capstone-health-hosts-back-to-school-health-fair/,Capstone Health hosts back-to-school health fair,2024-07-26,null,null
15,wvua23,https://www.wvua23.com/trump-welcomes-netanyahu-to-mar-a-lago-mending-his-relationship-with-a-key-political-ally/,"Trump welcomes Netanyahu to Mar-a-Lago, mending his relationship with a key political ally",2024-07-26,null,null
16,wvua23,https://www.wvua23.com/northport-coffee-and-collectibles-shop-hosting-fundraiser-for-metro-animal-shelter-saturday/,Northport coffee and collectibles shop hosting fundraiser for Metro Animal Shelter Saturday,2024-07-26,null,null
17,wvua23,https://www.wvua23.com/tagovailoa-inks-four-year-extension-with-miami/,Tagovailoa inks four year extension with Miami,2024-07-26,null,null
18,wvua23,https://www.wvua23.com/parrish-fire-and-rescue-receives-146k-grant-for-new-equipment/,Parrish Fire and Rescue receives $146k grant for new equipment,2024-07-26,null,null
19,wvua23,https://www.wvua23.com/teachers-preparing-classrooms-for-new-school-year/,Teachers preparing classrooms for new school year,2024-07-26,null,null
20,deltadigitalnewservice,https://deltanewsservice.com/2024/05/31/legends-bbq-a-thriving-figure-of-the-nea-black-community/,Legends BBQ a thriving figure of the NEA black community,2024-05-31,null,null
21,deltadigitalnewservice,https://deltanewsservice.com/2024/05/23/nea-celebrates-local-diversity-with-cultural-expo/,NEA celebrates local diversity with cultural expo,2024-05-23,null,null
22,deltadigitalnewservice,https://deltanewsservice.com/2024/05/02/cityyouth-a-destination-for-youth-when-school-ends/,CityYouth a destination for youth when school ends,2024-05-02,null,null
23,deltadigitalnewservice,https://deltanewsservice.com/2024/05/01/nea-baptist-urgent-care-plus-opening-imaging-center/,NEA Baptist Urgent Care Plus opens imaging center,2024-05-01,null,null
24,deltadigitalnewservice,https://deltanewsservice.com/2024/05/01/mental-health-where-the-gym-comes-in-handy/,Mental health: where the gym comes in handy,2024-05-01,null,null
25,deltadigitalnewservice,https://deltanewsservice.com/2024/05/01/mama-2-mama-provides-for-local-community-of-mothers/,"Mama 2 Mama, a local nonprofit organization and podcast, provides free diapers and shelter to needy mothers",2024-05-01,null,null
26,deltadigitalnewservice,https://deltanewsservice.com/2024/05/01/brent-floating-farms-aims-to-revolutionize-agriculture/,Brent Floating Farms aims to “revolutionize agriculture”,2024-05-01,null,null
27,deltadigitalnewservice,https://deltanewsservice.com/2024/05/01/medicaid-unwinding-affects-over-13000-jonesboro-residents/,"Medicaid unwinding affects over 13,000 Jonesboro residents",2024-05-01,null,null
28,deltadigitalnewservice,https://deltanewsservice.com/2024/04/29/paragould-school-district-seeks-bond-restructure-vote/,Paragould School District seeks bond restructure vote,2024-04-29,null,null
29,deltadigitalnewservice,https://deltanewsservice.com/2024/04/29/craighead-county-deputy-pao-releases-annual-report-on-hot-check-program/,Craighead County Deputy PAO releases annual report on Hot Check Program,2024-04-29,null,null
30,cronkitenewsdistribution,https://cronkitenews.azpbs.org/2024/07/28/jade-carey-overcomes-illness-paris-olympics-moves-2nd-vault/,"Phoenix native Jade Carey overcomes illness at Paris Olympics, moves to 2nd in vault",2024-07-28,null,null
31,cronkitenewsdistribution,https://cronkitenews.azpbs.org/2024/07/27/ugly-american-gary-hall-finds-peace-olympics-media-diabetes-struggle/,"‘Ugly American’ Gary Hall Jr. finds peace after Olympics media scrutiny, diabetes struggle",2024-07-27,null,null
32,cronkitenewsdistribution,https://cronkitenews.azpbs.org/2024/07/27/rain-cant-dampen-mood-as-fans-celebrate-inclusive-vibe-of-paris-olympics-opening-ceremony/,Rain can’t dampen mood as fans celebrate inclusive vibe of Paris Olympics’ opening ceremony,2024-07-27,null,null
33,cronkitenewsdistribution,https://cronkitenews.azpbs.org/2024/07/26/kari-lake-prominent-republican-national-convention/,"Speech, book signing, more: Kari Lake prominent at RNC after modeling campaign after Donald Trump",2024-07-26,null,null
34,cronkitenewsdistribution,https://cronkitenews.azpbs.org/2024/07/26/asu-women-golf-program-showcases-strength-five-olympians/,ASU women’s golf program showcases strength with five Olympians in Paris,2024-07-26,null,null
35,cronkitenewsdistribution,https://cronkitenews.azpbs.org/2024/07/26/5000-miles-away-from-paris-olympics-valleys-french-bakeries-find-connection-with-community/,"5,000 miles away from Paris Olympics, Valley’s French bakeries find connection with community",2024-07-26,null,null
36,cronkitenewsdistribution,https://cronkitenews.azpbs.org/2024/07/25/wnba-international-presence-brings-fans-players-together/,WNBA’s international appeal lures players and fans as the women’s game explodes in popularity,2024-07-26,null,null
37,cronkitenewsdistribution,https://cronkitenews.azpbs.org/2024/07/25/kirsten-engel-slams-juan-ciscomani-patriot-academy-christian-nationalist-group/,"Kirsten Engel slams Juan Ciscomani over links to Patriot Academy, a Christian nationalist group, as Arizona congressional race simmers",2024-07-25,null,null
38,cronkitenewsdistribution,https://cronkitenews.azpbs.org/2024/07/25/arizona-rattlers-kevin-guy-jeff-jarnigan-manage-coaching-duties/,"Double duty: Kevin Guy, Jeff Jarnigan manage coaching and front office duties while leading Arizona Rattlers into another postseason",2024-07-25,null,null
39,cronkitenewsdistribution,https://cronkitenews.azpbs.org/2024/07/25/kids-online-safety-act-could-pass-senate-youth-mental-health/,Kids Online Safety Act could pass the Senate soon amid calls to protect minors online,2024-07-25,null,null
40,zumedia,https://zunews.com/2024/05/tyler-howards-athletic-journey-at-apu/,Tyler Howard’s Athletic Journey at APU,2024-05-07,null,null
41,zumedia,https://zunews.com/2024/05/zu-magazine-vol-13-issue-1-so-what/,ZU Magazine: Vol. 13 Issue 1: “So What?”,2024-05-01,null,null
42,zumedia,https://zunews.com/2024/05/remembering-josh-millender-a-pillar-of-genuine-kindness/,Remembering Josh Millender: A pillar of “genuine kindness”,2024-05-01,null,null
43,zumedia,https://zunews.com/2024/04/issues-with-commuting-and-off-campus-housing/,Issues with Commuting and Off-Campus Housing,2024-04-25,null,null
44,zumedia,https://zunews.com/2024/04/taylor-swifts-the-tortured-poets-department-is-nothing-like-we-expected/,Taylor Swift’s “The Tortured Poets Department” is nothing like we expected,2024-04-25,null,null
45,zumedia,https://zunews.com/2024/04/the-scary-reality-of-nickelodeon/,The Scary Reality of Nickelodeon,2024-04-24,null,null
46,zumedia,https://zunews.com/2024/04/the-cold-weather-and-rain-continue-to-hit-azusa/,The cold weather and rain continue to hit Azusa,2024-04-22,null,null
47,zumedia,https://zunews.com/2024/04/scottie-scheffler-dominates-the-2024-masters-tournament/,Scottie Scheffler Dominates the 2024 Masters Tournament,2024-04-21,null,null
48,zumedia,https://zunews.com/2024/04/summertime-shenanigans/,Summertime Shenanigans,2024-04-18,null,null
49,zumedia,https://zunews.com/2024/04/movies-that-need-a-sequel/,Movies that need a sequel,2024-04-18,null,null
50,thepoint,https://thepointmagazine.org/4471/stories/cultural-roots-through-cuisine-finding-comfort-in-culinary-roots/,Cultural Roots Through Cuisine: Finding Comfort in Culinary Roots,2024-04-03,null,null
51,thepoint,https://thepointmagazine.org/4430/uncategorized/zihan-xu-china/,"Zihan Xu, China",2023-12-07,null,null
52,thepoint,https://thepointmagazine.org/4423/uncategorized/yaw-bay-myanmar/,"Yaw Bay, Myanmar",2023-12-07,null,null
53,thepoint,https://thepointmagazine.org/4416/uncategorized/perez-balikuddembe-uganda/,"Perez Balikuddembe, Uganda",2023-12-07,null,null
54,thepoint,https://thepointmagazine.org/4409/uncategorized/juan-manuel-nzamio-mba-andeme-equatorial-guinea/,"Juan Manuel Nzamio Mba Andeme, Equatorial Guinea",2023-12-07,null,null
55,thepoint,https://thepointmagazine.org/4401/uncategorized/joshua-janghyeok-kim/,"Joshua (Janghyeok) Kim, South Korea",2023-12-07,null,null
56,thepoint,https://thepointmagazine.org/4394/uncategorized/jesslyn-sudarta-indonesia/,"Jesslyn Sudarta, Indonesia",2023-12-07,null,null
57,thepoint,https://thepointmagazine.org/4387/uncategorized/janna-christian-gspd/,"Janna Christian, GSPD",2023-12-07,null,null
58,thepoint,https://thepointmagazine.org/4376/uncategorized/carolina-mussi-paraguay/,"Carolina Mussi, Paraguay",2023-12-07,null,null
59,thepoint,https://thepointmagazine.org/4356/stories/global/cross-cultural-stories/,Cross Cultural Stories,2023-12-07,null,null
60,theorion,https://theorion.com/100491/features/abandoned-shoes-in-chico-photo-series/,Abandoned shoes in Chico: photo series,2024-05-22,null,null
61,theorion,https://theorion.com/100413/food-2/the-orion-tries-the-dining-hall/,The Orion tries the dining hall,2024-05-21,null,null
62,theorion,https://theorion.com/100375/features/faculty-students-mental-health-continue-to-suffer/,"Faculty, students’ mental health continue to suffer",2024-05-20,null,null
63,theorion,https://theorion.com/100331/arts/names-horror-films-have-ruined-or-made-cool/,Names horror films have ruined … or made cool,2024-05-19,null,null
64,theorion,https://theorion.com/100370/arts/he-said-she-said-immaculate/,"He said, she said: ‘Immaculate’",2024-05-18,null,null
65,theorion,https://theorion.com/100337/features/meet-the-orions-fall-2024-editorial-board/,Meet The Orion’s fall 2024 editorial board!,2024-05-17,null,null
66,theorion,https://theorion.com/100476/news/chico-state-celebrates-graduate-studies-commencement/,Chico State celebrates Graduate Studies Commencement,2024-05-17,null,null
67,theorion,https://theorion.com/100334/arts/an-alt-girls-origin-story-emo-beginnings/,An alt-girl’s origin story: emo beginnings,2024-05-16,null,null
68,theorion,https://theorion.com/100392/features/congrats-the-orion-graduates/,Congrats to The Orion graduates!,2024-05-16,null,null
69,theorion,https://theorion.com/100384/news/a-final-wrap-up-of-stachura/,A final wrap up of Stachura,2024-05-15,null,null
70,universitytimes,https://csulauniversitytimes.com/encampment-dismantled/,"Police take down pro-Palestinian encampment, Eanes says ‘we will not negotiate’",2024-06-18,null,null
71,universitytimes,https://csulauniversitytimes.com/admin-building-overtaken/,"Encampment must go after Student Services Building vandalized, says Cal State LA president",2024-06-14,null,null
72,universitytimes,https://csulauniversitytimes.com/photo-essay-shakespeares-macbeth/,PHOTO ESSAY: Shakespeare’s ‘Macbeth’,2024-05-18,null,null
73,universitytimes,https://csulauniversitytimes.com/psilocybin-mushrooms-regain-popularity-as-researchers-look-for-new-ways-to-use-it/,Psilocybin mushrooms regain popularity as researchers look for new ways to use it,2024-05-17,null,null
74,universitytimes,https://csulauniversitytimes.com/video-arrest-made-in-the-death-of-former-cal-state-la-student/,Arrest made in the death of former Cal State LA student,2024-05-14,null,null
75,universitytimes,https://csulauniversitytimes.com/creating-one-final-masterpiece-from-movie-fanatic-to-special-fx-artist/,"Creating one final masterpiece, from movie fanatic to Special FX artist",2024-05-11,null,null
76,universitytimes,https://csulauniversitytimes.com/from-may-day-to-today-where-the-encampment-is-now/,From May Day to today: Where the encampment is now,2024-05-11,null,null
77,universitytimes,https://csulauniversitytimes.com/gen-z-latinos-fight-an-uphill-battle-to-reach-the-film-industry/,Gen Z Latinos Fight an Uphill Battle to Reach the Film Industry,2024-05-09,null,null
78,universitytimes,https://csulauniversitytimes.com/car-flips-over-next-to-hellman-bridge-crashing-into-three-cars/,"BREAKING: Car flips over next to Hellman bridge, crashing into three cars",2024-05-02,null,null
79,universitytimes,https://csulauniversitytimes.com/audio-story-cal-state-la-baseball-vs-cal-poly-pomona-apr-19-21-2024/,"AUDIO STORY: Cal State LA baseball VS Cal Poly Pomona. Apr. 19-21, 2024.",2024-05-01,null,null
80,collegiatenewsservice,https://voiceofoc.org/2024/06/fountain-valley-to-test-out-a-four-day-work-week-at-city-hall/,Fountain Valley to Test Out a Four-Day Work Week at City Hall,2024-06-04,null,null
81,collegiatenewsservice,https://voiceofoc.org/2024/05/stanton-city-leaders-dream-of-a-new-downtown/,Stanton City Leaders Dream of a New Downtown,2024-05-30,null,null
82,collegiatenewsservice,https://voiceofoc.org/2024/05/placentia-officials-raise-concerns-about-blank-check-to-construction-consultants/,Placentia Officials Raise Concerns About ‘Blank Check’ to Construction Consultants,2024-05-07,null,null
83,collegiatenewsservice,https://voiceofoc.org/2024/05/fountain-valley-allows-digital-freeway-advertising-will-drivers-be-distracted/,Fountain Valley Allows Digital Freeway Advertising; Will Drivers be Distracted?,2024-05-06,null,null
84,collegiatenewsservice,https://voiceofoc.org/2024/05/santa-ana-families-celebrate-dia-de-los-ninos-dia-de-los-libros/,"Santa Ana Families Celebrate Día de los Niños, Día de los Libros",2024-05-03,null,null
