publication,feed,is_uni_newspaper
thehornettribune,asuhornettribune.com,1
wvua23,www.wvua23.com,0
deltadigitalnewservice,deltanewsservice.com,0
cronkitenewsdistribution,cronkitenews.azpbs.org,0
elinde,indearizona.com,0
zumedia,zunews.com,0
thepoint,thepointmagazine.org,1
theorion,theorion.com,1
universitytimes,csulauniversitytimes.com,1
collegiatenewsservice,voiceofoc.org,0
coastreportonline,www.coastreportonline.com,1
pepperdine/seavercollegejournalismprogram,pepperdine-graphic.com,1
eldon,eldonnews.org,1
oaklandnorth,oaklandnorth.net,1
richmondconfidential,richmondconfidential.org,1
crosstown,xtown.la,0
metmedia,www.mymetmedia.com,0
abilitymediagroup,abilitymediagroup.com,0
eastoncourier,eastoncourier.news,0
howarduniversitynewsservice,hunewsservice.com,1
thefauman,www.thefamuanonline.com/category/news,1
nextgenjournalismclub,www.tampafp.com,0
orlandosentinel,www.orlandosentinel.com,0
democracywatch,news.wgcu.org/tags/democracy-watch,0
freshtakeflorida,www.wuft.org/fresh-take-florida,1
communitywire.miami,themiamihurricane.com,1
caplinnews,caplinnews.fiu.edu,1
miamiherald,feeds.mcclatchy.com/miamiherald/sections/news/local/stories,0
miamitimes,www.miamitimesonline.com,0
theredandblacknewspaper,www.redandblack.com,1
freshtakegeorgia,freshtakegeorgia.org,0
maconnewsroom/centerforcollaborativejournalism,macon-newsroom.com,0
woodallweekendworkshop,gradynewsource.uga.edu,1
legislativereportingcapstone,www.civilbeat.org,0
thedailyiowan,dailyiowan.com,1
idahocountyfreepress,www.idahocountyfreepress.com,0
austintalks,austintalks.org,0
14east,fourteeneastmag.com/index.php,1
citizenaccess,cu-citizenaccess.org,0
arnoltcenterforinvestigativejournalism,arnoltcenter.org/work,0
theeasternprogress,www.easternprogress.com,1
270stories-departmentofjournalismandmasscommunications,270stories.mymurraystate.com,0
thenortherner,www.thenortherner.com,1
wkujournalism,wkujournalism.com,1
lsucoldcaseproject,lsucoldcaseproject.com,0
manshipschoolstatehouseburean,manshipxgr.org,0
northwesternstateuniversitylouisiana’snsu-tvnewsservice,purplemedianetwork.com,1
gbhnews,www.wgbh.org,0
clarkurbancommunityjournalismclassblog,clarkcommunityjournalism.wordpress.com,0
thescope,thescopeboston.org,0
capitalnewsservice,cnsmaryland.org,0
capitalnewsservice,news.jrn.msu.edu,0
greatlakesecho,greatlakesecho.org,0
projectoptimist,www.projectoptimist.us,0
columbiamissourian,www.columbiamissourian.com,0
kbianpraffiliate,www.kbia.org/news,0
9thstreetjournal,9thstreetjournal.org,1
storieswetell,storieswetell.news,0
queensuniversitynewsservice,qcitymetro.com,0
thewesterncarolinajournalist,thewesterncarolinajournalist.com/category/news,0
southjerseyclimatenews,sjclimate.news,0
newmexiconewsport,newmexiconewsport.com,1
sdnews,sdnews.com,0
kunr,www.kunr.org/local-stories,0
noticieromovil,noticieromovil.com,0
hitchcockproject,hitchcockproject.org,0
rochesterbeacon,rochesterbeacon.com,0
columbianewsservice,columbianewsservice.com,0
bronxjournal,bronxjournal.com,0
longislandadvocate,longislandadvocate.com,0
legislativegazette,legislativegazette.com,0
coopersquared,coopersquared.com,0
pavementpieces,pavementpieces.com,0
reportingproject,www.thereportingproject.org,0
ohionewslab,kentstatenewslab.org/category/reporting,0
