,publication,url,article_title,date,is_uni_newspaper
0,thehornettribune,https://asuhornettribune.com/14534/viewpoints/donald-trumps-conviction-a-reminder-of-many-things/,Donald Trump’s conviction a reminder of many things,2024-06-09,1
1,thehornettribune,https://asuhornettribune.com/14494/viewpoints/protests-of-a-different-color/,Protests of a different color,2024-05-18,1
2,thehornettribune,https://asuhornettribune.com/14472/viewpoints/justice-for-marilyn-mosby-and-other-black-women/,Justice for Marilyn Mosby and other Black women,2024-05-15,1
3,thehornettribune,https://asuhornettribune.com/14455/university-news/flowers-imparts-important-message-to-spring-2024-graduates/,Flowers imparts important message to Spring 2024 graduates,2024-05-03,1
4,thehornettribune,https://asuhornettribune.com/14441/university-news/14441/,International Student Association honors its graduating seniors,2024-05-01,1
5,thehornettribune,https://asuhornettribune.com/14434/university-news/university-makes-history-with-inaugural-hive-awards/,University makes history with inaugural Hive Awards for students,2024-04-28,1
6,thehornettribune,https://asuhornettribune.com/14418/university-news/cable-encourages-honor-students-to-travel-the-bridge-of-endurance/,Cable encourages honor students to travel the bridge of endurance,2024-04-27,1
7,thehornettribune,https://asuhornettribune.com/14409/university-news/president-emeritus-william-hamilton-harris-dies/,"President Emeritus William Harris, Ph.D., dies in Hilton Head, South Carolina",2024-04-20,1
8,thehornettribune,https://asuhornettribune.com/14448/university-news/14448/,Tracy V. Banks Memorial Oratorical Contest amplifies student voices,2024-04-16,1
9,thehornettribune,https://asuhornettribune.com/14324/university-news/fourteen-trailblazers-make-history-at-the-university/,Fourteen student trailblazers create history at Alabama State University,2024-04-16,1
10,wvua23,https://www.wvua23.com/tuscaloosa-city-councilman-to-host-back-to-school-giveaway/,Tuscaloosa city councilman to host back-to-school giveaway,2024-07-25,0
11,wvua23,https://www.wvua23.com/booties-indoor-dog-parks-and-following-the-vets-orders-how-to-keep-pets-cool-this-summer/,Booties. Indoor dog parks. And following the vet’s orders. How to keep pets cool this summer,2024-07-25,0
12,wvua23,https://www.wvua23.com/were-just-asking-for-transparency-northport-residents-voice-concerns-over-university-beach-development/,‘We’re just asking for transparency:’ Northport residents voice concerns over University Beach development,2024-07-25,0
13,wvua23,https://www.wvua23.com/how-to-watch-the-2024-olympics-opening-ceremony/,How to watch the 2024 Olympics opening ceremony,2024-07-25,0
14,wvua23,https://www.wvua23.com/southwest-breaks-with-50-year-tradition-and-will-assign-seats-profit-falls-at-southwest-american/,"Southwest breaks with 50-year tradition and will assign seats; profit falls at Southwest, American",2024-07-25,0
15,wvua23,https://www.wvua23.com/us-economic-growth-increased-last-quarter-to-a-healthy-2-8-annual-rate/,US economic growth increased last quarter to a healthy 2.8% annual rate,2024-07-25,0
16,wvua23,https://www.wvua23.com/today-in-history-july-25-2024/,"Today in History: July 25, 2024",2024-07-25,0
17,wvua23,https://www.wvua23.com/biden-delivers-solemn-call-to-defend-democracy-as-he-lays-out-his-reasons-for-quitting-race/,Biden delivers solemn call to defend democracy as he lays out his reasons for quitting race,2024-07-25,0
