,publication,feed,is_uni_newspaper
0,thehornettribune,https://asuhornettribune.com/feed/,1
1,wvua23,https://www.wvua23.com/feed/,0
2,deltadigitalnewservice,https://deltanewsservice.com/feed/,0
3,cronkitenewsdistribution,https://cronkitenews.azpbs.org/rss-feed/,0
4,elinde,https://indearizona.com/comments/feed/,0
5,zumedia,https://zunews.com/feed/,0
6,thepoint,https://thepointmagazine.org/feed/,1
7,theorion,https://theorion.com/feed/,1
8,universitytimes,https://csulauniversitytimes.com/feed/,1
9,collegiatenewsservice,https://voiceofoc.org/category/news/collegiate-news-service/feed/,0
10,coastreportonline,https://www.coastreportonline.com/search/?f=rss&t=article&c=news&l=50&s=start_time&sd=desc,1
11,pepperdine/seavercollegejournalismprogram,https://pepperdine-graphic.com/feed/,1
12,eldon,https://eldonnews.org/feed/,1
13,oaklandnorth,https://oaklandnorth.net/feed/,1
14,richmondconfidential,https://richmondconfidential.org/feed/,1
15,crosstown,https://xtown.la/feed/,0
16,metmedia,https://www.mymetmedia.com/feed/,0
17,abilitymediagroup,https://abilitymediagroup.com/f.rss,0
18,eastoncourier,https://eastoncourier.news/feed/,0
19,howarduniversitynewsservice,https://hunewsservice.com/feed/,1
20,thefauman,https://www.thefamuanonline.com/category/news/rss,1
21,nextgenjournalismclub,https://www.tampafp.com/feed/,0
22,orlandosentinel,https://www.orlandosentinel.com/feed/,0
23,democracywatch,https://news.wgcu.org/tags/democracy-watch.rss,0
24,freshtakeflorida,https://www.wuft.org/fresh-take-florida.rss,1
25,communitywire.miami,https://themiamihurricane.com/feed/,1
26,caplinnews,https://caplinnews.fiu.edu/rss,1
27,miamiherald,https://feeds.mcclatchy.com/miamiherald/sections/news/local/stories,0
28,miamitimes,http://www.miamitimesonline.com/search/?f=rss&amp;t=article&amp;c=news/local&amp;l=50&amp;s=start_time&amp;sd=desc,0
29,theredandblacknewspaper,https://www.redandblack.com/search/?f=rss&amp;t=article&amp;c=staff&amp;l=50&amp;s=start_time&amp;sd=desc,1
30,freshtakegeorgia,https://freshtakegeorgia.org/feed/,0
31,maconnewsroom/centerforcollaborativejournalism,https://macon-newsroom.com/feed/,0
32,woodallweekendworkshop,https://gradynewsource.uga.edu/feed/,1
33,legislativereportingcapstone,https://www.civilbeat.org/feed/,0
34,thedailyiowan,https://dailyiowan.com/feed/,1
35,idahocountyfreepress,http://www.idahocountyfreepress.com/search/?f=rss&amp;t=article&amp;l=50&amp;s=start_time&amp;sd=desc&amp;k%5B%5D=%23topstory,0
36,austintalks,http://austintalks.org/feed/,0
37,14east,http://fourteeneastmag.com/index.php/feed/,1
38,citizenaccess,https://cu-citizenaccess.org/feed/,0
39,arnoltcenterforinvestigativejournalism,https://arnoltcenter.org/work/feed/,0
40,theeasternprogress,https://www.easternprogress.com/search/?f=rss&t=article&l=50&s=start_time&sd=desc&k%5B%5D=%23topstory,1
41,270stories-departmentofjournalismandmasscommunications,https://270stories.mymurraystate.com/feed/,0
42,thenortherner,https://www.thenortherner.com/feed/,1
43,wkujournalism,https://wkujournalism.com/feed/,1
44,lsucoldcaseproject,https://lsucoldcaseproject.com/feed/,0
45,manshipschoolstatehouseburean,https://manshipxgr.org/feed/,0
46,northwesternstateuniversitylouisiana’snsu-tvnewsservice,https://purplemedianetwork.com/feed/,1
47,usatoday,https://www.bu.edu/com/category/student-work/feed/,0
48,gbhnews,https://www.wgbh.org/news.rss,0
49,clarkurbancommunityjournalismclassblog,https://clarkcommunityjournalism.wordpress.com/feed/,0
50,thescope,https://thescopeboston.org/feed/,0
51,capitalnewsservice,https://cnsmaryland.org/rss,0
52,capitalnewsservice,https://news.jrn.msu.edu/feed/,0
53,greatlakesecho,https://greatlakesecho.org/feed/,0
54,thekansascitystar,https://feeds.mcclatchy.com/kansascity/sections/news/local/stories,0
55,projectoptimist,https://www.projectoptimist.us/rss/,0
56,columbiamissourian,https://www.columbiamissourian.com/search/?f=rss&t=article&c=news&l=50&s=start_time&sd=desc,0
57,kbianpraffiliate,https://www.kbia.org/news.rss,0
58,9thstreetjournal,https://9thstreetjournal.org/rss,1
59,storieswetell,https://storieswetell.news/feed/,0
60,queensuniversitynewsservice,https://qcitymetro.com/feed/,0
61,thewesterncarolinajournalist,https://thewesterncarolinajournalist.com/category/news/rss,0
62,southjerseyclimatenews,https://sjclimate.news/feed/,0
63,newmexiconewsport,https://newmexiconewsport.com/rss,1
64,sdnews,https://sdnews.com/rss,0
65,kunr,https://www.kunr.org/local-stories.rss,0
66,noticieromovil,https://noticieromovil.com/feed/,0
67,hitchcockproject,https://hitchcockproject.org/feed/,0
68,rochesterbeacon,https://rochesterbeacon.com/feed/,0
69,columbianewsservice,https://columbianewsservice.com/feed/,0
70,bronxjournal,http://bronxjournal.com/?feed=rss2,0
71,longislandadvocate,https://longislandadvocate.com/feed/,0
72,legislativegazette,https://legislativegazette.com/rss,0
73,coopersquared,https://coopersquared.com/feed/,0
74,pavementpieces,https://pavementpieces.com/feed/,0
75,reportingproject,https://www.thereportingproject.org/rss,0
76,ohionewslab,https://kentstatenewslab.org/category/reporting/rss,0
77,ideastream,https://www.ideastream.org/news.rss,0
78,thebuckeyeflame,https://thebuckeyeflame.com/rss,0
79,theland,https://thelandcle.org/rss,0
80,theportager,https://theportager.com/rss,0
81,oxfordobserver,https://oxfordobserver.org/rss,0
82,gaylordnews,https://gaylordnews.net/rss,0
83,dailyastorian,https://www.dailyastorian.com/search/?f=rss&t=article&l=50&s=start_time&sd=desc&k%5B%5D=%23topstory,0
84,thecatalystjournalismproject,https://catalystjournalism.uoregon.edu/feed/,0
85,eugeneweekly,https://eugeneweekly.com/rss,0
86,nextpittsburgh,https://nextpittsburgh.com/rss,0
87,qburgh,https://qburgh.com/rss,0
88,pointparknewsservice,https://pointparknewsservice.org/rss,1
89,philadephianeighborhoods,https://philadelphianeighborhoods.com/rss,0
90,eastfallslocal,https://nwlocalpaper.com/rss,0
91,carolinanewsandreporter,https://carolinanewsandreporter.cic.sc.edu/feed/,1
92,overlookedinappalachia,https://www.overlookedinappalachia.org/blog-feed.xml,0
93,thesouthernaccent,https://southern-accent.org/rss,0
94,instituteforpublicservicereportingmemphis,https://www.psrmemphis.org/rss,0
95,kacu,https://www.kacu.org/local-news.rss,0
96,borderzine,https://borderzine.com/feed/,0
97,sanantonioreport,https://sanantonioreport.org/feed/,0
98,thecommunitynews,https://www.community-news.com/browse.rss,0
99,seguingazette,https://seguingazette.com/search/?f=rss&t=article&l=50&s=start_time&sd=desc&k%5B%5D=%23topstory,0
100,texasmetronews,https://texasmetronews.com/feed/,0
101,planomagazine,https://planomagazine.com/feed/,0
102,amplifyutah,https://www.sltrib.com/arc/outboundfeeds/rss/?outputType=xml,0
103,capitalnewsservice,https://vcucns.com/rss,0
104,thevirginian-pilot,https://www.pilotonline.com/feed/,0
105,news7,http://www.news7newslinc.net/index.php?format=feed&type=rss,0
106,vtdigger,https://vtdigger.org/feed/,0
107,vtdigger,https://vtcommunitynews.org/category/legislature/rss,0
108,vtdigger,https://vtcommunitynews.org/category/envirnoment/rss,0
109,vtdigger,https://vtcommunitynews.org/category/news/rss,0
110,vtdigger,https://vtcommunitynews.org/category/features/rss,0
111,kitsapdailynews,https://www.kitsapdailynews.com/feed/,0
112,theseattletimes,https://www.seattletimes.com/feed/,0
113,grandcoulee'sstar,https://www.grandcoulee.com/rss,0
114,knkx,https://www.knkx.org/news.rss,0
115,bainbridgereview,https://www.bainbridgereview.com/rss,0
116,murrownewsservice,https://www.spokesman.com/feeds/,0
117,milwaukeeneighborhoodnewsservice,https://milwaukeenns.org/feed/,0
118,wisconsinwatch,https://wisconsinwatch.org/feed/,0
119,dailyathenaeum,https://www.thedaonline.com/search/?q=&t=article&f=atom&ips=300&altf=mrss,1
120,andalusiastarnews,https://www.andalusiastarnews.com/rss,0
121,atmoreadvance,https://www.atmoreadvance.com/rss,0
122,thebrewtonstandard,http://www.brewtonstandard.com/rss,0
123,clantonadvertiser,https://www.clantonadvertiser.com/rss,0
124,gadsdenmessenger,https://gadsdenmessenger.com/rss,0
125,greenvilleadvocate,http://www.greenvilleadvocate.com/rss,0
126,selmatimesjournal,https://www.selmatimesjournal.com/rss,0
127,troymessenger,http://www.troymessenger.com/rss,0
128,thevalleytimesnews,https://www.valleytimes-news.com/rss,0
