publication,num_student_articles,num_total_articles,student_to_total_ratio
deltadigitalnewservice,1,1,1
cronkitenewsdistribution,1,1,1
crosstown,1,1,1
woodallweekendworkshop,1,1,1
14east,1,1,1
citizenaccess,1,1,1
arnoltcenterforinvestigativejournalism,1,1,1
theeasternprogress,1,1,1
270stories-departmentofjournalismandmasscommunications,2,2,1
thenortherner,1,1,1
wkujournalism,2,2,1
lsucoldcaseproject,1,1,1
capitalnewsservice,3,3,1
storieswetell,1,1,1
newmexiconewsport,2,2,1
legislativegazette,1,1,1
coopersquared,2,2,1
thebuckeyeflame,2,2,1
gaylordnews,2,2,1
philadephianeighborhoods,2,2,1
thesouthernaccent,2,2,1
news7,2,2,1
dailyathenaeum,1,1,1
andalusiastarnews,1,1,1
atmoreadvance,1,1,1
thebrewtonstandard,2,2,1
clantonadvertiser,4,4,1
greenvilleadvocate,1,1,1
selmatimesjournal,1,1,1
thevalleytimesnews,3,3,1
thebakersfieldcalifornian,1,1,1
inlandvalleydailybulletin,2,2,1
dailyrecord,1,1,1
estesparktrailgazette,1,1,1
bocabeacon,1,1,1
madisoncountycarrier,1,1,1
atlantadailyworld,1,1,1
lagrangedailynews,3,3,1
postsearchlight,2,2,1
tribune,1,1,1
valleytimesnews,3,3,1
theadvocatemessenger,1,1,1
thehancockclarion,1,1,1
bossierpresstribune,2,2,1
l’observateur,1,1,1
everettindependent,1,1,1
headlightherald,4,4,1
picayuneitem,1,1,1
moberlymonitorindex,1,1,1
easthamptonstar,1,1,1
gardencitynews,1,1,1
putnamnewsandrecorder,1,1,1
recordherald,1,1,1
newportthisweek,2,2,1
themobridgetribune,2,2,1
smithvillereview,1,1,1
fortworthweekly,1,1,1
orangeleader,1,1,1
pleasantonexpress,1,1,1
thewilsoncountynews,1,1,1
thereview,2,2,1
vtdigger,30,35,0.857
columbiamissourian,3,4,0.75
thetowncrier,6,8,0.75
thekennebecjournal,3,4,0.75
thewanderer,3,4,0.75
northwestasianweekly/theseattlechinesepost,3,4,0.75
thehornettribune,2,3,0.667
thewesterncarolinajournalist,2,3,0.667
ohionewslab,2,3,0.667
arkansastimes,2,3,0.667
moab’stimesindependent,2,3,0.667
federalwaymirror,2,3,0.667
rentonreporter,2,3,0.667
whidbeynewstimes,2,3,0.667
nextgenjournalismclub,4,7,0.571
communitywire.miami,1,2,0.5
longislandadvocate,1,2,0.5
thecatalystjournalismproject,1,2,0.5
dailybreeze,1,2,0.5
thelamardailynews,1,2,0.5
summitdailynews,1,2,0.5
citybusiness,1,2,0.5
massachusettsnews,1,2,0.5
austindailyherald,2,4,0.5
thestar,1,2,0.5
thenatchezdemocrat,1,2,0.5
boonvilledailynews,1,2,0.5
constitutiontribune,1,2,0.5
dailyguide,2,4,0.5
rolladailynews,2,4,0.5
businessnewsnj,1,2,0.5
chathamjournal,1,2,0.5
thetribunechronicle,1,2,0.5
providencebusinessnews,1,2,0.5
rappahannockrecord,1,2,0.5
vashonmauryislandbeachcomber,1,2,0.5
thepoint,1,3,0.333
theland,1,3,0.333
northfortynews,1,3,0.333
newsleader,1,3,0.333
mindenpressherald,1,3,0.333
advertiserdemocrat,1,3,0.333
saintpaulpioneerpress,1,3,0.333
nevadabusinessjournal,1,3,0.333
eugeneweekly,10,34,0.294
rochesterbeacon,1,4,0.25
miamitoday,1,4,0.25
harrodsburgherald,1,4,0.25
snoqualmievalleyrecord,1,4,0.25
westhawaiitoday,2,9,0.222
boulderweekly,6,40,0.15
murrysvillestar,1,9,0.111
pittsburghtribunereview,1,9,0.111
zumedia,0,1,0
theorion,0,1,0
universitytimes,0,3,0
collegiatenewsservice,0,2,0
oaklandnorth,0,1,0
metmedia,0,4,0
eastoncourier,0,1,0
howarduniversitynewsservice,0,2,0
thefauman,0,1,0
orlandosentinel,0,1,0
caplinnews,0,3,0
freshtakegeorgia,0,2,0
maconnewsroom/centerforcollaborativejournalism,0,2,0
