publication,num_student_articles,num_total_articles,student_to_total_ratio
270stories-departmentofjournalismandmasscommunications,10.0,10,1.0
lsucoldcaseproject,5.0,5,1.0
storieswetell,10.0,10,1.0
southjerseyclimatenews,10.0,10,1.0
thesouthernaccent,10.0,10,1.0
deltadigitalnewservice,9.0,10,0.9
zumedia,9.0,10,0.9
thewesterncarolinajournalist,9.0,10,0.9
hitchcockproject,9.0,10,0.9
coopersquared,9.0,10,0.9
reportingproject,9.0,10,0.9
ohionewslab,9.0,10,0.9
usatoday,8.0,10,0.8
bronxjournal,8.0,10,0.8
gaylordnews,8.0,10,0.8
collegiatenewsservice,15.0,20,0.75
columbianewsservice,9.0,12,0.75
greatlakesecho,7.0,10,0.7
pavementpieces,7.0,10,0.7
manshipschoolstatehouseburean,6.0,10,0.6
philadephianeighborhoods,6.0,10,0.6
borderzine,6.0,10,0.6
metmedia,17.0,30,0.567
oxfordobserver,5.0,10,0.5
thecatalystjournalismproject,5.0,10,0.5
hobbsnewssun,1.0,2,0.5
capitalnewsservice,42.0,87,0.483
vtdigger,140.0,300,0.467
milwaukeeneighborhoodnewsservice,9.0,20,0.45
cronkitenewsdistribution,4.0,10,0.4
arnoltcenterforinvestigativejournalism,4.0,10,0.4
planomagazine,4.0,10,0.4
freshtakegeorgia,3.0,10,0.3
thebuckeyeflame,3.0,10,0.3
news7,2.0,7,0.286
abilitymediagroup,6.0,23,0.261
wisconsinwatch,3.0,12,0.25
eugeneweekly,11.0,50,0.22
thescope,2.0,10,0.2
qburgh,2.0,10,0.2
thevirginian-pilot,2.0,10,0.2
martha’svineyardtimes,4.0,20,0.2
constitutiontribune,2.0,10,0.2
mountainxpress,2.0,10,0.2
yellowspringsnews,2.0,10,0.2
fortworthweekly,2.0,10,0.2
republicanclipper,1.0,6,0.167
arkansastimes,3.0,25,0.12
cupertinocourier,1.0,9,0.111
uvaldeleadernews,1.0,9,0.111
maconnewsroom/centerforcollaborativejournalism,1.0,10,0.1
legislativereportingcapstone,1.0,10,0.1
citizenaccess,1.0,10,0.1
queensuniversitynewsservice,1.0,10,0.1
longislandadvocate,1.0,10,0.1
theland,1.0,10,0.1
nextpittsburgh,1.0,10,0.1
eastfallslocal,1.0,10,0.1
sanantonioreport,1.0,10,0.1
dailydemocrat,1.0,10,0.1
theenterpriserecord,1.0,10,0.1
fortbraggadvocatenews,1.0,10,0.1
aurorasentinel,1.0,10,0.1
thedailycamera,1.0,10,0.1
madisoncountycarrier,2.0,20,0.1
claytontribune,1.0,10,0.1
dawsonadvertiser,1.0,10,0.1
harlanonline,1.0,10,0.1
theadvocatemessenger,1.0,10,0.1
harrodsburgherald,1.0,10,0.1
thecrowleypostsignal,1.0,10,0.1
thelowellsun,1.0,10,0.1
massachusettsnews,1.0,10,0.1
thevineyardgazette,1.0,10,0.1
thewanderer,1.0,10,0.1
thestar,1.0,10,0.1
moberlymonitorindex,1.0,10,0.1
newhampshiregazette,1.0,10,0.1
urbanadailycitizen,1.0,10,0.1
columbiastar,1.0,10,0.1
southernstandard,1.0,10,0.1
theislands’sounder,1.0,10,0.1
thejournalofthesanjuanislands,1.0,10,0.1
pittsburghtribunereview,2.0,25,0.08
waterburyrepublicanamerican,2.0,30,0.067
theaspentimes,1.0,20,0.05
steamboatpilot,1.0,20,0.05
summitdailynews,1.0,20,0.05
mindenpressherald,1.0,20,0.05
thekennebecjournal,2.0,50,0.04
boulderweekly,11.0,300,0.037
lasvegasreviewjournal,1.0,30,0.033
thetowncrier,1.0,50,0.02
westhawaiitoday,1.0,50,0.02
wvua23,0.0,10,0.0
crosstown,0.0,10,0.0
eastoncourier,0.0,10,0.0
nextgenjournalismclub,0.0,40,0.0
orlandosentinel,0.0,8,0.0
sdnews,0.0,10,0.0
noticieromovil,0.0,10,0.0
rochesterbeacon,0.0,10,0.0
legislativegazette,0.0,8,0.0
theportager,0.0,10,0.0
instituteforpublicservicereportingmemphis,0.0,10,0.0
texasmetronews,0.0,10,0.0
kitsapdailynews,0.0,10,0.0
bainbridgereview,0.0,10,0.0
andalusiastarnews,0.0,10,0.0
atmoreadvance,0.0,10,0.0
thebrewtonstandard,0.0,10,0.0
clantonadvertiser,0.0,10,0.0
gadsdenmessenger,0.0,10,0.0
greenvilleadvocate,0.0,10,0.0
selmatimesjournal,0.0,10,0.0
troymessenger,0.0,10,0.0
thevalleytimesnews,0.0,10,0.0
juneauempire,0.0,20,0.0
peninsulaclarion,0.0,10,0.0
arizonacapitoltimes,0.0,10,0.0
