publication,num_student_articles,num_total_articles,student_to_total_ratio
deltadigitalnewservice,1.0,1,1.0
cronkitenewsdistribution,1.0,1,1.0
crosstown,1.0,1,1.0
woodallweekendworkshop,1.0,1,1.0
14east,1.0,1,1.0
citizenaccess,1.0,1,1.0
arnoltcenterforinvestigativejournalism,1.0,1,1.0
theeasternprogress,1.0,1,1.0
270stories-departmentofjournalismandmasscommunications,2.0,2,1.0
thenortherner,1.0,1,1.0
wkujournalism,2.0,2,1.0
lsucoldcaseproject,1.0,1,1.0
capitalnewsservice,3.0,3,1.0
storieswetell,1.0,1,1.0
newmexiconewsport,2.0,2,1.0
legislativegazette,1.0,1,1.0
coopersquared,2.0,2,1.0
thebuckeyeflame,2.0,2,1.0
gaylordnews,2.0,2,1.0
philadephianeighborhoods,2.0,2,1.0
thesouthernaccent,2.0,2,1.0
news7,2.0,2,1.0
dailyathenaeum,1.0,1,1.0
andalusiastarnews,1.0,1,1.0
atmoreadvance,1.0,1,1.0
thebrewtonstandard,2.0,2,1.0
clantonadvertiser,4.0,4,1.0
greenvilleadvocate,1.0,1,1.0
selmatimesjournal,1.0,1,1.0
thevalleytimesnews,3.0,3,1.0
thebakersfieldcalifornian,1.0,1,1.0
inlandvalleydailybulletin,2.0,2,1.0
dailyrecord,1.0,1,1.0
estesparktrailgazette,1.0,1,1.0
bocabeacon,1.0,1,1.0
madisoncountycarrier,1.0,1,1.0
atlantadailyworld,1.0,1,1.0
lagrangedailynews,3.0,3,1.0
postsearchlight,2.0,2,1.0
tribune,1.0,1,1.0
valleytimesnews,3.0,3,1.0
theadvocatemessenger,1.0,1,1.0
thehancockclarion,1.0,1,1.0
bossierpresstribune,2.0,2,1.0
l’observateur,1.0,1,1.0
everettindependent,1.0,1,1.0
headlightherald,4.0,4,1.0
picayuneitem,1.0,1,1.0
moberlymonitorindex,1.0,1,1.0
easthamptonstar,1.0,1,1.0
gardencitynews,1.0,1,1.0
putnamnewsandrecorder,1.0,1,1.0
recordherald,1.0,1,1.0
newportthisweek,2.0,2,1.0
themobridgetribune,2.0,2,1.0
smithvillereview,1.0,1,1.0
fortworthweekly,1.0,1,1.0
orangeleader,1.0,1,1.0
pleasantonexpress,1.0,1,1.0
thewilsoncountynews,1.0,1,1.0
thereview,2.0,2,1.0
vtdigger,30.0,35,0.857
columbiamissourian,3.0,4,0.75
thetowncrier,6.0,8,0.75
thekennebecjournal,3.0,4,0.75
thewanderer,3.0,4,0.75
northwestasianweekly/theseattlechinesepost,3.0,4,0.75
thehornettribune,2.0,3,0.667
thewesterncarolinajournalist,2.0,3,0.667
ohionewslab,2.0,3,0.667
arkansastimes,2.0,3,0.667
moab’stimesindependent,2.0,3,0.667
federalwaymirror,2.0,3,0.667
rentonreporter,2.0,3,0.667
whidbeynewstimes,2.0,3,0.667
nextgenjournalismclub,4.0,7,0.571
communitywire.miami,1.0,2,0.5
longislandadvocate,1.0,2,0.5
thecatalystjournalismproject,1.0,2,0.5
dailybreeze,1.0,2,0.5
thelamardailynews,1.0,2,0.5
summitdailynews,1.0,2,0.5
citybusiness,1.0,2,0.5
massachusettsnews,1.0,2,0.5
austindailyherald,2.0,4,0.5
thestar,1.0,2,0.5
thenatchezdemocrat,1.0,2,0.5
boonvilledailynews,1.0,2,0.5
constitutiontribune,1.0,2,0.5
dailyguide,2.0,4,0.5
rolladailynews,2.0,4,0.5
businessnewsnj,1.0,2,0.5
chathamjournal,1.0,2,0.5
